date,description,amount
2024-01-02,Tim Hortons,4.75
2024-01-03,Spotify,9.99
2024-01-04,Superstore Grocery,87.32
2024-01-05,Netflix,16.99
2024-01-06,Shell Gas Station,61.20
2024-01-08,Dominos Pizza,32.50
2024-01-09,Rogers Wireless,85.00
2024-01-10,Uber,14.30
2024-01-11,LCBO,28.90
2024-01-12,Amazon Purchase,45.00
2024-01-14,Starbucks,6.80
2024-01-15,Rent Payment,1450.00
2024-01-16,Hydro One,110.00
2024-01-17,McDonalds,12.40
2024-01-18,Adobe Creative Cloud,54.99
2024-01-19,Sobeys Grocery,63.15
2024-01-20,GoodLife Fitness,29.99
2024-01-21,Uber Eats,38.75
2024-01-22,Apple iCloud,3.99
2024-01-23,Petro Canada,55.40
2024-01-24,Boston Pizza,47.20
2024-01-25,Bell Internet,89.00
2024-01-26,Shoppers Drug Mart,22.10
2024-01-27,YouTube Premium,13.99
2024-01-28,No Frills Grocery,54.80
2024-01-29,Cineplex,26.00
2024-01-30,TransLink Monthly Pass,112.00